 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:100	 Time:120006	 ResultTime:96066	 Fitness:-10210	 Generations:10381	 Hard broken:5
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:100	 Time:120012	 ResultTime:113660	 Fitness:-34229	 Generations:10461	 Hard broken:10
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:100	 Time:120008	 ResultTime:118180	 Fitness:-22199	 Generations:10554	 Hard broken:10
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:100	 Time:120003	 ResultTime:112451	 Fitness:-16217	 Generations:10492	 Hard broken:6
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:100	 Time:120012	 ResultTime:110118	 Fitness:-14240	 Generations:10592	 Hard broken:5
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:100	 Time:120003	 ResultTime:87060	 Fitness:-20209	 Generations:10516	 Hard broken:7
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:100	 Time:120011	 ResultTime:98083	 Fitness:-8227	 Generations:10427	 Hard broken:4
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:100	 Time:120003	 ResultTime:115769	 Fitness:-18236	 Generations:10542	 Hard broken:7
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:100	 Time:120010	 ResultTime:100179	 Fitness:-18236	 Generations:7761	 Hard broken:6
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:100	 Time:120004	 ResultTime:114763	 Fitness:-10213	 Generations:7777	 Hard broken:5
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:100	 Time:120014	 ResultTime:115941	 Fitness:-15221	 Generations:7714	 Hard broken:7
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:100	 Time:120016	 ResultTime:116999	 Fitness:-26212	 Generations:7663	 Hard broken:9
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:100	 Time:120013	 ResultTime:118820	 Fitness:-12220	 Generations:7869	 Hard broken:5
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:100	 Time:120009	 ResultTime:102733	 Fitness:-13251	 Generations:7732	 Hard broken:6
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:100	 Time:120010	 ResultTime:113192	 Fitness:-10219	 Generations:7787	 Hard broken:4
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:100	 Time:120006	 ResultTime:114969	 Fitness:-29239	 Generations:7712	 Hard broken:11
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:100	 Time:120006	 ResultTime:77735	 Fitness:-13200	 Generations:7814	 Hard broken:6
 Pop size:100	 Sel size:25	 Sel quota:0.25	 Mutation prob:40	 Time:120008	 ResultTime:106962	 Fitness:-140	 Generations:16520	 Hard broken:0
 Pop size:100	 Sel size:25	 Sel quota:0.25	 Mutation prob:40	 Time:120002	 ResultTime:117483	 Fitness:-168	 Generations:16059	 Hard broken:0
 Pop size:100	 Sel size:25	 Sel quota:0.25	 Mutation prob:40	 Time:120002	 ResultTime:106755	 Fitness:-157	 Generations:16652	 Hard broken:0
 Pop size:100	 Sel size:25	 Sel quota:0.25	 Mutation prob:40	 Time:120004	 ResultTime:113481	 Fitness:-139	 Generations:16754	 Hard broken:0
 Pop size:100	 Sel size:25	 Sel quota:0.25	 Mutation prob:40	 Time:120006	 ResultTime:119654	 Fitness:-167	 Generations:16367	 Hard broken:0
 Pop size:100	 Sel size:25	 Sel quota:0.25	 Mutation prob:40	 Time:120005	 ResultTime:110832	 Fitness:-8200	 Generations:15416	 Hard broken:2
 Pop size:100	 Sel size:25	 Sel quota:0.25	 Mutation prob:40	 Time:120002	 ResultTime:115367	 Fitness:-150	 Generations:17092	 Hard broken:0
 Pop size:100	 Sel size:25	 Sel quota:0.25	 Mutation prob:40	 Time:120005	 ResultTime:119825	 Fitness:-4166	 Generations:16412	 Hard broken:1
 Pop size:100	 Sel size:25	 Sel quota:0.25	 Mutation prob:40	 Time:120006	 ResultTime:119570	 Fitness:-125	 Generations:17067	 Hard broken:0
 Pop size:100	 Sel size:50	 Sel quota:0.5	 Mutation prob:40	 Time:120008	 ResultTime:110892	 Fitness:-135	 Generations:8375	 Hard broken:0
 Pop size:100	 Sel size:50	 Sel quota:0.5	 Mutation prob:40	 Time:120004	 ResultTime:119922	 Fitness:-148	 Generations:8190	 Hard broken:0
 Pop size:100	 Sel size:50	 Sel quota:0.5	 Mutation prob:40	 Time:120005	 ResultTime:119891	 Fitness:-165	 Generations:8141	 Hard broken:0
 Pop size:100	 Sel size:50	 Sel quota:0.5	 Mutation prob:40	 Time:120012	 ResultTime:118820	 Fitness:-140	 Generations:8286	 Hard broken:0
 Pop size:100	 Sel size:50	 Sel quota:0.5	 Mutation prob:40	 Time:120014	 ResultTime:118710	 Fitness:-147	 Generations:8164	 Hard broken:0
 Pop size:100	 Sel size:50	 Sel quota:0.5	 Mutation prob:40	 Time:120004	 ResultTime:119112	 Fitness:-155	 Generations:8624	 Hard broken:0
 Pop size:100	 Sel size:50	 Sel quota:0.5	 Mutation prob:40	 Time:120008	 ResultTime:118809	 Fitness:-139	 Generations:8641	 Hard broken:0
 Pop size:100	 Sel size:50	 Sel quota:0.5	 Mutation prob:40	 Time:120002	 ResultTime:116229	 Fitness:-149	 Generations:8097	 Hard broken:0
 Pop size:100	 Sel size:50	 Sel quota:0.5	 Mutation prob:40	 Time:120004	 ResultTime:115461	 Fitness:-159	 Generations:7625	 Hard broken:0
 Pop size:100	 Sel size:75	 Sel quota:0.75	 Mutation prob:40	 Time:120008	 ResultTime:115727	 Fitness:-163	 Generations:5295	 Hard broken:0
 Pop size:100	 Sel size:75	 Sel quota:0.75	 Mutation prob:40	 Time:120011	 ResultTime:118174	 Fitness:-4137	 Generations:5525	 Hard broken:1
 Pop size:100	 Sel size:75	 Sel quota:0.75	 Mutation prob:40	 Time:120018	 ResultTime:105062	 Fitness:-8164	 Generations:5487	 Hard broken:2
 Pop size:100	 Sel size:75	 Sel quota:0.75	 Mutation prob:40	 Time:120010	 ResultTime:117078	 Fitness:-176	 Generations:5196	 Hard broken:0
 Pop size:100	 Sel size:75	 Sel quota:0.75	 Mutation prob:40	 Time:120016	 ResultTime:104676	 Fitness:-4167	 Generations:5260	 Hard broken:1
 Pop size:100	 Sel size:75	 Sel quota:0.75	 Mutation prob:40	 Time:120016	 ResultTime:117125	 Fitness:-173	 Generations:5309	 Hard broken:0
 Pop size:100	 Sel size:75	 Sel quota:0.75	 Mutation prob:40	 Time:120004	 ResultTime:105273	 Fitness:-4166	 Generations:5269	 Hard broken:1
 Pop size:100	 Sel size:75	 Sel quota:0.75	 Mutation prob:40	 Time:120002	 ResultTime:112644	 Fitness:-151	 Generations:5309	 Hard broken:0
 Pop size:100	 Sel size:75	 Sel quota:0.75	 Mutation prob:40	 Time:120018	 ResultTime:116479	 Fitness:-8157	 Generations:5703	 Hard broken:2
 Pop size:100	 Sel size:100	 Sel quota:1.0	 Mutation prob:40	 Time:120008	 ResultTime:116973	 Fitness:-4147	 Generations:4003	 Hard broken:1
 Pop size:100	 Sel size:100	 Sel quota:1.0	 Mutation prob:40	 Time:120023	 ResultTime:117796	 Fitness:-154	 Generations:4163	 Hard broken:0
